,unigram,count
985,excessive,243
986,fast,242
987,insufficient,242
988,outline,242
989,meeting,241
990,constant,241
991,location,241
992,disbursement,241
993,breakdown,241
994,immediate,240
995,count,240
996,cure,239
997,liability,239
998,civil,239
999,household,239
